generation,state,gender,category,merchant_target,amt_ly,amt_ty,amt_diff,amt_growth_ctc,amt_ty_peer,amt_ly_peer,amt_diff_peer,amt_growth_ctc_peer,merchant_peer,amt_growth_ctc_diff
Boomer,AL,F,food_dining,fraud_Kilback LLC,323.04,776.92,453.87999999999994,0.005036593855975502,294.3582213720511,111.02095173570834,183.33726963634277,0.0017634994145376147,ex-fraud_Kilback LLC,0.0032730944414378874
Boomer,AL,F,grocery_pos,fraud_Kilback LLC,213.75,0.0,-213.75,-0.002371930767415977,385.4850862458255,280.1366572038076,105.34842904201793,0.001013334022627054,ex-fraud_Kilback LLC,-0.003385264790043031
Boomer,AL,M,food_dining,fraud_Kilback LLC,191.37,0.0,-191.37,-0.0021235854547854765,116.03316042261476,101.08666481104481,14.946495611569944,0.00014376856551139385,ex-fraud_Kilback LLC,-0.00226735402029687
Boomer,AL,M,grocery_pos,fraud_Kilback LLC,68.84155557960607,974.8399999999999,905.9984444203939,0.010053640166323959,341.72649024299625,238.1683566680884,103.55813357490786,0.000996113383231909,ex-fraud_Kilback LLC,0.00905752678309205
Boomer,AR,F,food_dining,fraud_Kilback LLC,8.715,0.0,-8.715,-9.67081947978023e-05,129.94939281575964,58.06387139198231,71.88552142377733,0.0006914582899375359,ex-fraud_Kilback LLC,-0.0007881664847353382
Boomer,AR,F,grocery_pos,fraud_Kilback LLC,77.02084608113547,0.0,-77.02084608113547,-0.0008546812376713709,336.81490592417833,216.4216673191153,120.39323860506303,0.0011580482583571177,ex-fraud_Kilback LLC,-0.0020127294960284887
Boomer,AR,M,food_dining,,,,,,35.45318374629538,29.42602440859899,6.027159337696389,5.7974529589293864e-05,ex-fraud_Kilback LLC,-5.7974529589293864e-05
Boomer,AR,M,grocery_pos,,,,,,90.85636363636364,111.95836259503903,-21.101998958675395,-0.0002029776208787864,ex-fraud_Kilback LLC,0.0002029776208787864
Boomer,AZ,F,food_dining,fraud_Kilback LLC,0.0,502.88,502.88,0.005580334710260335,17.625454545454545,14.890795667974896,2.7346588774796494,2.6304358840737744e-05,ex-fraud_Kilback LLC,0.005554030351419597
Boomer,AZ,F,grocery_pos,,,,,,159.65456082840439,75.51678076640253,84.13778006200185,0.0008093113101015783,ex-fraud_Kilback LLC,-0.0008093113101015783
Boomer,AZ,M,food_dining,fraud_Kilback LLC,0.0,90.28,90.28,0.0010018147821394827,58.39479373259034,68.90022452879077,-10.505430796200436,-0.00010105049069025975,ex-fraud_Kilback LLC,0.0011028652728297425
Boomer,AZ,M,grocery_pos,,,,,,156.655304039823,102.56022379433462,54.095080245488376,0.0005203341499058393,ex-fraud_Kilback LLC,-0.0005203341499058393
Boomer,CA,F,food_dining,fraud_Kilback LLC,154.245,0.0,-154.245,-0.001711618532023754,286.74582238715027,170.8773395112369,115.86848287591337,0.0011145251705795556,ex-fraud_Kilback LLC,-0.0028261437026033094
Boomer,CA,F,grocery_pos,fraud_Kilback LLC,258.38,0.0,-258.38,-0.002867178814900305,681.7682691668555,362.65357848717855,319.1146906796769,0.0030695262959910866,ex-fraud_Kilback LLC,-0.005936705110891392
Boomer,CA,M,food_dining,fraud_Kilback LLC,93.765,1034.72,940.955,0.01044154439884866,365.16874192238276,136.18063608185884,228.98810584052393,0.002202609384261237,ex-fraud_Kilback LLC,0.008238935014587423
Boomer,CA,M,grocery_pos,fraud_Kilback LLC,357.36,0.0,-357.36,-0.003965535340555666,884.4351168094887,350.1286103117518,534.3065064977369,0.005139430805647911,ex-fraud_Kilback LLC,-0.009104966146203576
Boomer,CO,M,food_dining,,,,,,95.86285714285714,45.0336376175227,50.82921952533444,0.0004889202236519097,ex-fraud_Kilback LLC,-0.0004889202236519097
Boomer,CO,M,grocery_pos,fraud_Kilback LLC,62.01,0.0,-62.01,-0.0006881095994735192,228.25176470588235,129.98351351440826,98.26825119147409,0.0009452306330706233,ex-fraud_Kilback LLC,-0.0016333402325441424
Boomer,CT,F,food_dining,fraud_Kilback LLC,0.0,0.0,0.0,0.0,119.41914156908321,67.38966881985533,52.02947274922788,0.000500465316811808,ex-fraud_Kilback LLC,-0.000500465316811808
Boomer,CT,F,grocery_pos,fraud_Kilback LLC,149.76,0.0,-149.76,-0.0016618495987284993,267.5734123447405,72.57855044455698,194.99486190018354,0.0018756324094981016,ex-fraud_Kilback LLC,-0.0035374820082266006
Boomer,CT,M,food_dining,,,,,,26.063061825257265,21.301586048204566,4.7614757770526985,4.580006979389949e-05,ex-fraud_Kilback LLC,-4.580006979389949e-05
Boomer,CT,M,grocery_pos,fraud_Kilback LLC,0.0,508.32,508.32,0.00564070104183808,186.80387096774194,102.82766520577604,83.9762057619659,0.0008077571461059928,ex-fraud_Kilback LLC,0.004832943895732087
Boomer,FL,F,food_dining,fraud_Kilback LLC,19.575,0.0,-19.575,-0.00021721892291072634,186.50732968050815,80.49653216137504,106.0107975191331,0.0010197052663131728,ex-fraud_Kilback LLC,-0.001236924189223899
